standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg,patch_label_strikt,patch_label_locker,anteil_ausgemagert,cluster_id,datum,mischgut_typ_geschaetzt,groesstkorn_mm,flickstelle,mtd_mittel_mm,label_visuell_autor,label_visuell_betreuer,belichtung_s
S001,24,3,3,150,150,193,0.9857445837472149,0.4043927219872151,0.0060844691470265,2.664399484907347,0.1239450871944427,-1.2959545850753784,1.6776361465454102,0.3135198056697845,0.2283516377210617,0.7633841037750244,0.1144942534996459,0.28505939245224,0.2868355214595794,0.972455620765686,21.96844482421875,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,25,3,4,200,150,193,0.989207763966818,0.3989882128559945,0.0062292199581861,2.649892626935553,0.1099213138222694,-1.359314203262329,1.896460056304932,0.3115458190441131,0.2357104867696762,0.7775875329971313,0.1164545281841126,0.2804049849510193,0.2838391065597534,0.9630566835403442,21.672382354736328,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,26,3,5,250,150,193,0.9842948803994738,0.382833963897969,0.0059585054405033,2.5908494032963807,0.0813411325216293,-1.6552858352661133,3.57265567779541,0.303838312625885,0.2320055216550827,0.7620817422866821,0.1054440322932576,0.2725103199481964,0.268886536359787,0.911846935749054,20.925416946411133,ausgemagert,ausgemagert,0.9659588176863808,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,27,3,6,300,150,193,0.9402131600848344,0.3476339992143819,0.0046405997127294,2.418472358370839,0.0606974922120571,-1.953552484512329,5.584506034851074,0.2632746994495392,0.2170313000679016,0.6903018951416016,0.0786933927245731,0.2376502752304077,0.2537158727645874,0.8480842709541321,19.08286476135254,exkludiert,exkludiert,0.2678998093908561,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,28,4,0,0,200,193,0.6712394963623185,,,,,,,,,,,,,,,ausgemagert,ausgemagert,0.9999731536417084,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,29,4,1,50,200,193,0.9175548336868103,0.3667019018502381,0.0061936005949974,2.509644652685688,0.0853160545229911,-2.068262815475464,5.774347305297852,0.287259578704834,0.2429731488227844,0.7763716578483582,0.0986306981098952,0.2529908120632171,0.2654542028903961,0.8880212306976318,19.936769485473636,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,30,4,2,100,200,193,0.9712207039115144,0.3803892635473521,0.0056734639219939,2.55240661901436,0.1003385782241821,-1.5727219581604004,2.850803852081299,0.2874535024166107,0.2258380353450775,0.738169252872467,0.0991790364043453,0.2700415253639221,0.2679058909416199,0.9348194003105164,20.41155433654785,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,31,4,3,150,200,193,0.9881607559934494,0.4083753457498468,0.0062511288560926,2.6863361257255303,0.1091577783226966,-1.2816808223724363,1.739598274230957,0.3145986795425415,0.230281576514244,0.7703406810760498,0.1161975657465768,0.2951972782611847,0.2821860909461975,0.9538866877555848,22.300609588623047,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,32,4,4,200,200,193,0.9923756342452148,0.389681169369234,0.0056944224052131,2.609093557585294,0.1128546968102455,-1.4889264106750488,2.649972438812256,0.3052984178066253,0.2314285039901733,0.7654223442077637,0.107994048424185,0.2809599339962005,0.2700239419937134,0.9815971255302428,21.27994537353516,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,33,4,5,250,200,193,0.9766436682863968,0.3902482719696896,0.0061819753609597,2.6251124271814383,0.0813640877604484,-1.6054046154022217,3.4421157836914062,0.3128491342067718,0.236948624253273,0.774103045463562,0.115561175403392,0.2733141779899597,0.2785553336143493,0.9109812378883362,21.38603401184082,exkludiert,exkludiert,0.8239415823243577,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,34,4,6,300,200,193,0.9113264785631828,0.3808359360987788,0.0069458689540624,2.6437231759692987,0.0634715408086776,-1.724664568901062,3.878248691558838,0.3181797564029693,0.2534743845462799,0.8192262053489685,0.1246980498438696,0.2584028542041778,0.2797569930553436,0.8676133155822754,21.54816627502441,exkludiert,exkludiert,0.1881661252651078,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,35,5,0,0,250,193,0.5877204757174689,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,36,5,1,50,250,193,0.8864667507852559,0.350959035593941,0.0057596331462264,2.40899541906389,0.0713663101196289,-2.3807623386383057,7.5532684326171875,0.2636518776416778,0.2361496090888977,0.7336077094078064,0.0830708661417322,0.2479508072137832,0.248380035161972,0.8856801986694336,18.83727264404297,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,37,5,2,100,250,193,0.9471126741657494,0.3577623731659938,0.0053307130001485,2.4324173106003304,0.1053748801350593,-2.175413131713867,6.709600448608398,0.2736418545246124,0.2286301702260971,0.7213845252990723,0.0880126987726409,0.2558088600635528,0.25011146068573,0.9051051735877992,19.144962310791016,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,38,5,3,150,250,193,0.9672474428843728,0.390814101969633,0.0061941086314618,2.614453703657529,0.1088655218482017,-1.728011131286621,4.016176223754883,0.3009054064750671,0.2323653101921081,0.7561375498771667,0.1012517694079769,0.2795097529888153,0.273148238658905,0.9367805123329164,21.32352066040039,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,39,5,4,200,250,193,0.9836774141587694,0.3761665367279349,0.0054032052867114,2.5362555848902075,0.0970666483044624,-1.648665189743042,3.532920360565185,0.2931790351867676,0.2270440906286239,0.7401692867279053,0.1008979012581534,0.2728230953216553,0.2589764893054962,0.9583234786987304,20.32489585876465,ausgemagert,ausgemagert,0.9489919192461542,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,40,5,5,250,250,193,0.9554887379526968,0.3742151229260252,0.0064673945307731,2.573377984641671,0.0915350690484047,-1.860098958015442,4.53993034362793,0.3139055371284485,0.2566626071929931,0.819244384765625,0.119215532016521,0.2652613818645477,0.2639571130275726,0.9064189195632936,20.62643241882324,exkludiert,exkludiert,0.047947595908615,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,41,5,6,300,250,193,0.8462777524228838,0.366000084748147,0.0069348034448921,2.555862021065228,0.0736995190382003,-2.2061767578125,6.518272399902344,0.3012951612472534,0.2640696167945862,0.8429029583930969,0.1132506423880975,0.2521928548812866,0.2652448415756225,0.8671222925186157,20.589094161987305,exkludiert,exkludiert,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,42,6,0,0,300,193,0.4569518644795833,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,43,6,1,50,300,193,0.7273752315498403,0.3322023628810915,0.0061539006419479,2.336767280977449,0.0716981515288353,-2.6885855197906494,9.807576179504396,0.252651572227478,0.2426146268844604,0.7248679995536804,0.0811987893998671,0.2331312149763107,0.2366606146097183,0.8691884875297546,18.090944290161133,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,44,6,2,100,300,193,0.8210958683454589,0.3672268367858681,0.0066181584261357,2.5287813660769207,0.0702316015958786,-2.2700557708740234,7.278502464294434,0.2797749936580658,0.2424758821725845,0.7404602766036987,0.0913846656857936,0.2828115224838257,0.2342502772808075,0.859979510307312,20.285097122192383,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,45,6,3,150,300,193,0.9111385540551424,0.3786551442037063,0.0068930187262594,2.6112791650945897,0.0695623680949211,-1.825805902481079,4.484781742095947,0.3066152334213257,0.2482603639364242,0.8025118112564087,0.1178290462300008,0.2860102355480194,0.2481488734483719,0.8525416254997253,21.12225914001465,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,46,6,4,200,300,193,0.8859566699777175,0.3870563181800295,0.007642850279808,2.6640409901226296,0.076186679303646,-1.795220136642456,4.129859447479248,0.3201445937156677,0.2588140070438385,0.84053635597229,0.13078391563892,0.2930120825767517,0.252896249294281,0.8762401342391968,21.766063690185547,exkludiert,exkludiert,0.7770678407474026,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,47,6,5,250,300,193,0.8308142500469812,0.3602626899738952,0.0065544317476451,2.522263973301832,0.0744207799434661,-2.0999131202697754,5.587748527526856,0.2925770282745361,0.2502809464931488,0.7982963919639587,0.1068924289915016,0.2710576057434082,0.2373119890689849,0.8764922022819519,20.05653381347656,exkludiert,exkludiert,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,48,6,6,300,300,193,0.6892802491342049,,,,,,,,,,,,,,,exkludiert,exkludiert,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S002,0,0,0,0,0,193,0.221455609546565,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,1,0,1,50,0,193,0.4707508926414132,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,2,0,2,100,0,193,0.5425112083545867,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,3,0,3,150,0,193,0.6406078015517195,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,4,0,4,200,0,193,0.5916131976697361,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,5,0,5,250,0,193,0.5241751456414937,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,6,0,6,300,0,193,0.3064780262557384,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,7,1,0,0,50,193,0.4652473891916561,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,8,1,1,50,50,193,0.6276410104969261,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,9,1,2,100,50,193,0.7969878385996939,0.3988658464919688,0.0083620967343449,2.697519837565117,0.0980412065982818,-1.809503555297852,4.19618034362793,0.3083604276180267,0.2590950131416321,0.8284856081008911,0.1231178630376932,0.2937115728855133,0.2698656618595123,0.9157488346099854,22.20767974853516,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,10,1,3,150,50,193,0.8595666997771753,0.3830894122377972,0.0069450666196644,2.603076627520772,0.1001239493489265,-1.8129631280899048,4.225613594055176,0.2961966097354889,0.2420762181282043,0.7796032428741455,0.109282278718221,0.2843063771724701,0.2567632794380188,0.9352119565010072,20.941452026367188,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,11,1,4,200,50,193,0.8871110633842519,0.3597541553551436,0.0047264848835766,2.4575273683691994,0.1004144698381424,-1.6586201190948486,3.325626373291016,0.2607926726341247,0.2064862102270126,0.66841059923172,0.0767764193196949,0.2719758749008178,0.235482856631279,0.9833149313926696,19.40625762939453,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,12,1,5,250,50,193,0.7234288168809901,0.3741843123125509,0.0069383112713694,2.577093007371391,0.0866059884428978,-1.9194515943527224,4.35264253616333,0.2704732716083526,0.2274382561445236,0.7320075035095215,0.0924407169629272,0.2768076956272125,0.2517764866352081,0.9161542654037476,20.59245491027832,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
