standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg
S001,0,0,0,0,0,193,0.3158742516577626,,,,,,,,,,,,,,
S001,1,0,1,50,0,193,0.4322532148514054,,,,,,,,,,,,,,
S001,2,0,2,100,0,193,0.6279363204381325,,,,,,,,,,,,,,
S001,3,0,3,150,0,193,0.6190501758436469,,,,,,,,,,,,,,
S001,4,0,4,200,0,193,0.6636419769658246,,,,,,,,,,,,,,
S001,5,0,5,250,0,193,0.64186958039142,,,,,,,,,,,,,,
S001,6,0,6,300,0,193,0.437622486509705,,,,,,,,,,,,,,
S001,7,1,0,0,50,193,0.48656339767510537,,,,,,,,,,,,,,
S001,8,1,1,50,50,193,0.7446642862895648,0.34848615135784805,0.0077355713583528996,2.42660970443852,0.0641864463686943,-2.5691630840301514,8.456392288208008,0.28309208154678345,0.2713872790336609,0.8365409970283508,0.10757805177013484,0.25051259994506836,0.24225200712680817,0.8368797898292542,18.957778930664062
S001,9,1,2,100,50,193,0.8850438937958066,0.36894928621372286,0.005803333129733801,2.5028194624037843,0.07674942910671234,-1.9648200273513794,5.153651237487793,0.275980144739151,0.2271159440279007,0.7244584560394287,0.09106075772742439,0.27838319540023804,0.24212883412837982,0.8690466284751892,19.8594913482666
S001,10,1,3,150,50,193,0.9117023275792638,0.39370399485400065,0.0063045453280210495,2.6394345079235975,0.08138400316238403,-1.607615351676941,3.205873489379883,0.2991029620170593,0.23038996756076813,0.7546076774597168,0.1056831566548881,0.2901388108730316,0.2661246061325073,0.8683053255081177,21.61992645263672
S001,11,1,4,200,50,193,0.916507825713442,0.3806012422007421,0.006526601500809193,2.59386096139729,0.08229418843984604,-1.7861833572387695,4.054981231689453,0.3062053918838501,0.24341833591461182,0.7953718304634094,0.11432672310260991,0.2916446626186371,0.24454180896282196,0.8719586730003357,20.928499221801758
S001,12,1,5,250,50,193,0.8631372654299444,0.35991081687862775,0.006059733219444752,2.481031367049599,0.04768776148557663,-2.302175283432007,7.799727439880371,0.2846715450286865,0.24935458600521088,0.7784330248832703,0.09760194084165345,0.269876092672348,0.23812326788902283,0.8102343082427979,19.701171875
S001,13,1,6,300,50,193,0.6856291444065612,,,,,,,,,,,,,,
S001,14,2,0,0,100,193,0.5948079143064243,,,,,,,,,,,,,,
S001,15,2,1,50,100,193,0.8490697736851996,0.37921709114770175,0.007307627238333225,2.6102988133186513,0.08088517189025879,-2.021894693374634,5.257086753845215,0.3151792287826538,0.26583483815193176,0.8542304635047913,0.12663230783823948,0.25990986824035645,0.2761384844779968,0.8500626087188721,21.18946075439453
